grade,gender,ccas,age_first_social_media,most_used_platform
Grade 7,Female,3,11,Instagram
Grade 9,Female,1,11,Instagram
Grade 7,Male,4,13,Youtube
Grade 6,Male,1,10,Youtube
Grade 11,Female,0,12,Instagram
Grade 8,Female,1,10,Discord
Grade 10,Male,1,12,Discord
Grade 10,Female,2,11,Discord
Grade 9,Female,2,10,Discord
Grade 10,Female,0,8,Discord
Grade 9,Female,0,11,Discord
Grade 10,Female,0,12,Instagram
Grade 10,Male,0,8,Discord
Grade 10,Female,0,8,Youtube
Grade 6,Female,0,9,Instagram
Grade 7,Male,4,13,Other
Grade 10,Female,1,10,Instagram
Grade 7,Female,3,12,Discord
Grade 8,Male,2,10,Discord
Grade 8,Male,3,10,Discord
Grade 11,Male,4,8,Youtube
Grade 10,Female,5,11,Instagram
Grade 10,Non-binary,3,13,Discord
Grade 10,Female,1,11,Instagram
Grade 6,Male,4,11,Youtube
Grade 8,Male,2,12,Other
Grade 11,Female,2,14,Discord
Grade 6,Female,2,11,Youtube
Grade 9,Female,0,10,Youtube
Grade 10,Male,0,12,Youtube
Grade 11,Male,1,14,Youtube
Grade 11,Female,3,14,Discord
Grade 12,Female,0,9,Youtube
Grade 6,Female,2,11,Youtube
Grade 9,Male,1,11,Youtube
Grade 9,Male,1,8,Discord
Grade 7,Female,4,11,Other
Grade 12,Female,1,10,Other
Grade 11,Female,2,16,Instagram
Grade 11,Female,2,12,Instagram
Grade 11,Female,4,11,Instagram
Grade 10,Female,4,12,Instagram
Grade 7,Female,1,11,Instagram
Grade 8,Male,2,12,Discord
Grade 9,Male,1,8,Other
Grade 8,Female,2,12,Instagram
Grade 8,Male,2,13,Youtube
Grade 6,Male,1,10,Discord
Grade 7,Male,3,8,Youtube
Grade 7,Non-binary,0,13,Discord
Grade 8,Female,2,13,Instagram
Grade 12,Female,0,13,Instagram
Grade 7,Male,2,12,Discord
Grade 10,Male,3,15,Youtube
Grade 7,Female,4,12,Youtube
Grade 8,Male,0,11,Youtube
Grade 6,Female,0,11,Instagram
Grade 6,Female,1,11,Youtube
Grade 7,Male,1,12,Discord
Grade 8,Female,3,11,Instagram
Grade 8,Female,2,13,Instagram
Grade 9,Female,0,11,Instagram
Grade 6,Male,4,11,Youtube
Grade 6,Male,2,11,Youtube
Grade 7,Female,3,9,Discord
Grade 10,Female,2,12,Instagram
Grade 7,Male,2,12,Youtube
Grade 6,Male,1,10,Youtube
Grade 9,Female,3,11,Instagram
Grade 8,Female,4,11,Instagram
Grade 6,Male,1,10,Youtube